,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
700,2021/2022,Southampton,Leeds Utd,0-0,1-0,1-0,"30,506",14:00,0,0,1,0,1,0,0,1,1,Home
701,2021/2022,Leicester City,Man Utd,1-1,3-1,4-2,"32,219",14:00,1,1,3,1,4,2,2,4,6,Home
702,2021/2022,Norwich,Brighton,0-0,0-0,0-0,"26,777",14:00,0,0,0,0,0,0,0,0,0,Draw
703,2021/2022,Man City,Burnley,1-0,1-0,2-0,"52,711",14:00,1,0,1,0,2,0,1,1,2,Home
704,2021/2022,Aston Villa,Wolves,0-0,2-3,2-3,"41,951",14:00,0,0,2,3,2,3,0,5,5,Away
705,2021/2022,Watford,Liverpool,0-2,0-3,0-5,"21,085",11:30,0,2,0,3,0,5,2,3,5,Away
706,2021/2022,Liverpool,Man City,0-0,2-2,2-2,"53,102",15:30,0,0,2,2,2,2,0,4,4,Draw
707,2021/2022,Tottenham,Aston Villa,1-0,1-1,2-1,"53,076",13:00,1,0,1,1,2,1,1,2,3,Home
708,2021/2022,Crystal Palace,Leicester City,0-2,2-0,2-2,"25,000",13:00,0,2,2,0,2,2,2,2,4,Draw
709,2021/2022,Chelsea,Southampton,1-0,2-1,3-1,"40,109",14:00,1,0,2,1,3,1,1,3,4,Home
710,2021/2022,Wolves,Newcastle,1-1,1-0,2-1,"30,483",14:00,1,1,1,0,2,1,2,1,3,Home
711,2021/2022,West Ham,Brentford,0-1,1-1,1-2,"49,940",13:00,0,1,1,1,1,2,1,2,3,Away
712,2021/2022,Brighton,Arsenal,0-0,0-0,0-0,"31,266",16:30,0,0,0,0,0,0,0,0,0,Draw
713,2021/2022,Leeds Utd,Watford,1-0,0-0,1-0,"36,261",14:00,1,0,0,0,1,0,1,0,1,Home
714,2021/2022,Burnley,Norwich,0-0,0-0,0-0,"17,427",14:00,0,0,0,0,0,0,0,0,0,Draw
715,2021/2022,Man Utd,Everton,1-0,0-1,1-1,"73,128",11:30,1,0,0,1,1,1,1,1,2,Draw
716,2021/2022,Crystal Palace,Brighton,1-0,0-1,1-1,"22,975",19:00,1,0,0,1,1,1,1,1,2,Draw
717,Brentford - Liverpool,Brentford,Liverpool,1-1,2-2,3-3,"16,876",16:30,1,1,2,2,3,3,2,4,6,Draw
718,2021/2022,Arsenal,Tottenham,3-0,0-1,3-1,"59,919",15:30,3,0,0,1,3,1,3,1,4,Home
719,2021/2022,Southampton,Wolves,0-0,0-1,0-1,"28,002",13:00,0,0,0,1,0,1,0,1,1,Away
720,2021/2022,Everton,Norwich,1-0,1-0,2-0,"38,821",14:00,1,0,1,0,2,0,1,1,2,Home
721,2021/2022,Watford,Newcastle,0-1,1-0,1-1,"20,650",14:00,0,1,1,0,1,1,1,1,2,Draw
722,2021/2022,Leeds Utd,West Ham,1-0,0-2,1-2,"36,417",14:00,1,0,0,2,1,2,1,2,3,Away
723,2021/2022,Leicester City,Burnley,1-2,1-0,2-2,"31,650",14:00,1,2,1,0,2,2,3,1,4,Draw
724,2021/2022,Man Utd,Aston Villa,0-0,0-1,0-1,"72,922",11:30,0,0,0,1,0,1,0,1,1,Away
725,2021/2022,Chelsea,Man City,0-0,0-1,0-1,"40,036",11:30,0,0,0,1,0,1,0,1,1,Away
726,2021/2022,Brighton,Leicester City,1-0,1-1,2-1,"31,078",13:00,1,0,1,1,2,1,1,2,3,Home
727,2021/2022,West Ham,Man Utd,1-1,0-1,1-2,"60,000",13:00,1,1,0,1,1,2,2,1,3,Away
728,2021/2022,Tottenham,Chelsea,0-0,0-3,0-3,"60,059",15:30,0,0,0,3,0,3,0,3,3,Away
729,2021/2022,Aston Villa,Everton,0-0,3-0,3-0,"41,888",16:30,0,0,3,0,3,0,0,3,3,Home
730,2021/2022,Liverpool,Crystal Palace,1-0,2-0,3-0,"52,000",14:00,1,0,2,0,3,0,1,2,3,Home
731,2021/2022,Burnley,Arsenal,0-1,0-0,0-1,"20,000",14:00,0,1,0,0,0,1,1,0,1,Away
732,2021/2022,Norwich,Watford,1-1,0-2,1-3,"26,649",14:00,1,1,0,2,1,3,2,2,4,Away
733,2021/2022,Newcastle,Leeds Utd,1-1,0-0,1-1,"50,407",19:00,1,1,0,0,1,1,2,0,2,Draw
734,2021/2022,Man City,Southampton,0-0,0-0,0-0,"52,698",14:00,0,0,0,0,0,0,0,0,0,Draw
735,2021/2022,Wolves,Brentford,0-2,0-0,0-2,"30,000",11:30,0,2,0,0,0,2,2,0,2,Away
736,2021/2022,Everton,Burnley,0-0,3-1,3-1,"30,000",19:00,0,0,3,1,3,1,0,4,4,Home
737,2021/2022,Leeds Utd,Liverpool,0-1,0-2,0-3,"36,507",15:30,0,1,0,2,0,3,1,2,3,Away
738,2021/2022,Chelsea,Aston Villa,1-0,2-0,3-0,"39,969",16:30,1,0,2,0,3,0,1,2,3,Home
739,2021/2022,Watford,Wolves,0-0,0-2,0-2,"20,019",14:00,0,0,0,2,0,2,0,2,2,Away
740,2021/2022,Arsenal,Norwich,0-0,1-0,1-0,"58,000",14:00,0,0,1,0,1,0,0,1,1,Home
741,2021/2022,Southampton,West Ham,0-0,0-0,0-0,"30,000",14:00,0,0,0,0,0,0,0,0,0,Draw
742,2021/2022,Leicester City,Man City,0-0,0-1,0-1,"32,087",14:00,0,0,0,1,0,1,0,1,1,Away
743,2021/2022,Man Utd,Newcastle,1-0,3-1,4-1,"72,732",14:00,1,0,3,1,4,1,1,4,5,Home
744,Brentford - Brighton,Brentford,Brighton,0-0,0-1,0-1,"16,518",14:00,0,0,0,1,0,1,0,1,1,Away
745,2021/2022,Crystal Palace,Tottenham,0-0,3-0,3-0,"26,000",11:30,0,0,3,0,3,0,0,3,3,Home
746,2021/2022,Wolves,Man Utd,0-0,0-1,0-1,"30,621",15:30,0,0,0,1,0,1,0,1,1,Away
747,2021/2022,Burnley,Leeds Utd,0-0,1-1,1-1,"20,000",13:00,0,0,1,1,1,1,0,2,2,Draw
