,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
790,2020/2021,Galatasaray,Trabzonspor,0-0,1-1,1-1,Unknown,16:00,0,0,1,1,1,1,0,2,2,Draw
791,2020/2021,Erzurumspor,Malatyaspor,0-0,1-0,1-0,Unknown,13:00,0,0,1,0,1,0,0,1,1,Home
792,2020/2021,Hatayspor,Antalyaspor,1-0,2-2,3-2,Unknown,16:00,1,0,2,2,3,2,1,4,5,Home
793,Sivasspor - Beşiktaş,Sivasspor,Beşiktaş,0-0,0-0,0-0,Unknown,16:00,0,0,0,0,0,0,0,0,0,Draw
794,2020/2021,Karagümrük,Göztepe,1-0,0-1,1-1,Unknown,13:00,1,0,0,1,1,1,1,1,2,Draw
795,2020/2021,Rizespor,Konyaspor,2-2,3-1,5-3,Unknown,13:00,2,2,3,1,5,3,4,4,8,Home
796,2020/2021,Kayserispor,Gençlerbirliği,1-0,1-2,2-2,Unknown,13:00,1,0,1,2,2,2,1,3,4,Draw
797,2020/2021,Gaziantep,Kasımpaşa,0-1,2-1,2-2,Unknown,13:00,0,1,2,1,2,2,1,3,4,Draw
798,Göztepe - Galatasaray,Göztepe,Galatasaray,1-2,0-1,1-3,Unknown,16:00,1,2,0,1,1,3,3,1,4,Away
799,2020/2021,Trabzonspor,Hatayspor,1-0,0-1,1-1,Unknown,13:00,1,0,0,1,1,1,1,1,2,Draw
800,2020/2021,Başakşehir,Fenerbahçe,1-1,0-1,1-2,Unknown,16:00,1,1,0,1,1,2,2,1,3,Away
801,2020/2021,Malatyaspor,Alanyaspor,0-0,1-0,1-0,Unknown,13:00,0,0,1,0,1,0,0,1,1,Home
802,2020/2021,Denizlispor,Erzurumspor,0-1,2-2,2-3,Unknown,10:30,0,1,2,2,2,3,1,4,5,Away
803,2020/2021,Antalyaspor,Rizespor,1-2,1-1,2-3,Unknown,16:00,1,2,1,1,2,3,3,2,5,Away
804,2020/2021,Beşiktaş,Ankaragücü,1-0,1-2,2-2,Unknown,16:00,1,0,1,2,2,2,1,3,4,Draw
805,2020/2021,Konyaspor,Kayserispor,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
806,2020/2021,Fenerbahçe,Gaziantep,0-0,3-1,3-1,Unknown,16:00,0,0,3,1,3,1,0,4,4,Home
807,Gençlerbirliği - Sivasspor,Gençlerbirliği,Sivasspor,2-0,0-3,2-3,Unknown,13:00,2,0,0,3,2,3,2,3,5,Away
808,2020/2021,Alanyaspor,Denizlispor,0-1,3-1,3-2,Unknown,16:00,0,1,3,1,3,2,1,4,5,Home
