,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
782,2020/2021,RB Leipzig,Leverkusen,0-0,1-0,1-0,Unknown,17:30,0,0,1,0,1,0,0,1,1,Home
783,2020/2021,Union Berlin,M'gladbach,1-0,0-1,1-1,Unknown,14:30,1,0,0,1,1,1,1,1,2,Draw
784,2020/2021,Bayern,Hoffenheim,2-1,2-0,4-1,Unknown,14:30,2,1,2,0,4,1,3,2,5,Home
785,2020/2021,W. Bremen,Schalke,0-1,1-0,1-1,Unknown,14:30,0,1,1,0,1,1,1,1,2,Draw
786,2020/2021,Dortmund,Augsburg,1-1,2-0,3-1,Unknown,14:30,1,1,2,0,3,1,2,2,4,Home
787,2020/2021,Frankfurt,Hertha,0-0,3-1,3-1,Unknown,14:30,0,0,3,1,3,1,0,4,4,Home
788,2020/2021,Stuttgart,Mainz,0-0,2-0,2-0,Unknown,19:30,0,0,2,0,2,0,0,2,2,Home
789,2020/2021,Hoffenheim,Köln,2-0,1-0,3-0,Unknown,17:00,2,0,1,0,3,0,2,1,3,Home
790,2020/2021,Schalke,Bayern,0-1,0-3,0-4,Unknown,14:30,0,1,0,3,0,4,1,3,4,Away
791,2020/2021,Hertha,W. Bremen,1-2,0-2,1-4,Unknown,17:30,1,2,0,2,1,4,3,2,5,Away
792,2020/2021,Mainz,RB Leipzig,2-2,1-0,3-2,Unknown,14:30,2,2,1,0,3,2,4,1,5,Home
793,2020/2021,Freiburg,Stuttgart,2-1,0-0,2-1,Unknown,14:30,2,1,0,0,2,1,3,0,3,Home
794,2020/2021,Leverkusen,Wolfsburg,0-1,0-0,0-1,Unknown,14:30,0,1,0,0,0,1,1,0,1,Away
795,2020/2021,Bielefeld,Frankfurt,1-3,0-2,1-5,Unknown,14:30,1,3,0,2,1,5,4,2,6,Away
796,2020/2021,Augsburg,Union Berlin,1-1,1-0,2-1,Unknown,14:30,1,1,1,0,2,1,2,1,3,Home
797,2020/2021,M'gladbach,Dortmund,2-2,2-0,4-2,Unknown,19:30,2,2,2,0,4,2,4,2,6,Home
798,2020/2021,RB Leipzig,Union Berlin,0-0,1-0,1-0,Unknown,19:30,0,0,1,0,1,0,0,1,1,Home
799,2020/2021,Augsburg,Bayern,0-1,0-0,0-1,Unknown,19:30,0,1,0,0,0,1,1,0,1,Away
800,2020/2021,Freiburg,Frankfurt,1-1,1-1,2-2,Unknown,19:30,1,1,1,1,2,2,2,2,4,Draw
801,2020/2021,Bielefeld,Stuttgart,1-0,2-0,3-0,Unknown,19:30,1,0,2,0,3,0,1,2,3,Home
802,2020/2021,Schalke,Köln,0-1,1-1,1-2,Unknown,17:30,0,1,1,1,1,2,1,2,3,Away
803,2020/2021,Mainz,Wolfsburg,0-0,0-2,0-2,Unknown,19:30,0,0,0,2,0,2,0,2,2,Away
804,2020/2021,Leverkusen,Dortmund,1-0,1-1,2-1,Unknown,19:30,1,0,1,1,2,1,1,2,3,Home
805,2020/2021,Hertha,Hoffenheim,0-1,0-2,0-3,Unknown,19:30,0,1,0,2,0,3,1,2,3,Away
806,2020/2021,M'gladbach,W. Bremen,0-0,1-0,1-0,Unknown,17:30,0,0,1,0,1,0,0,1,1,Home
807,2020/2021,Frankfurt,Schalke,1-1,2-0,3-1,Unknown,17:00,1,1,2,0,3,1,2,2,4,Home
808,2020/2021,Bayern,Freiburg,1-0,1-1,2-1,Unknown,14:30,1,0,1,1,2,1,1,2,3,Home
809,2020/2021,Stuttgart,M'gladbach,0-1,2-1,2-2,Unknown,17:30,0,1,2,1,2,2,1,3,4,Draw
810,2020/2021,Dortmund,Mainz,0-0,1-1,1-1,Unknown,14:30,0,0,1,1,1,1,0,2,2,Draw
811,2020/2021,Köln,Hertha,0-0,0-0,0-0,Unknown,14:30,0,0,0,0,0,0,0,0,0,Draw
812,2020/2021,W. Bremen,Augsburg,0-0,2-0,2-0,Unknown,14:30,0,0,2,0,2,0,0,2,2,Home
813,2020/2021,Hoffenheim,Bielefeld,0-0,0-0,0-0,Unknown,14:30,0,0,0,0,0,0,0,0,0,Draw
814,2020/2021,Wolfsburg,RB Leipzig,2-1,0-1,2-2,Unknown,14:30,2,1,0,1,2,2,3,1,4,Draw
815,2020/2021,Union Berlin,Leverkusen,0-0,1-0,1-0,Unknown,19:30,0,0,1,0,1,0,0,1,1,Home
816,2020/2021,Bielefeld,Hertha,0-0,1-0,1-0,Unknown,17:00,0,0,1,0,1,0,0,1,1,Home
817,2020/2021,Augsburg,Stuttgart,0-2,1-2,1-4,Unknown,14:30,0,2,1,2,1,4,2,3,5,Away
818,2020/2021,RB Leipzig,Dortmund,0-0,1-3,1-3,Unknown,17:30,0,0,1,3,1,3,0,4,4,Away
819,2020/2021,Schalke,Hoffenheim,1-0,3-0,4-0,Unknown,14:30,1,0,3,0,4,0,1,3,4,Home
820,2020/2021,Union Berlin,Wolfsburg,1-1,1-1,2-2,Unknown,14:30,1,1,1,1,2,2,2,2,4,Draw
821,2020/2021,Mainz,Frankfurt,0-1,0-1,0-2,Unknown,14:30,0,1,0,1,0,2,1,1,2,Away
822,2020/2021,Freiburg,Köln,2-0,3-0,5-0,Unknown,14:30,2,0,3,0,5,0,2,3,5,Home
823,2020/2021,Leverkusen,W. Bremen,0-0,1-1,1-1,Unknown,14:30,0,0,1,1,1,1,0,2,2,Draw
824,2020/2021,M'gladbach,Bayern,2-2,1-0,3-2,Unknown,19:30,2,2,1,0,3,2,4,1,5,Home
825,2020/2021,Stuttgart,RB Leipzig,0-0,0-1,0-1,Unknown,19:30,0,0,0,1,0,1,0,1,1,Away
826,2020/2021,Bayern,Mainz,0-2,5-0,5-2,Unknown,17:00,0,2,5,0,5,2,2,5,7,Home
827,2020/2021,Dortmund,Wolfsburg,0-0,2-0,2-0,Unknown,14:30,0,0,2,0,2,0,0,2,2,Home
828,2020/2021,Hertha,Schalke,1-0,2-0,3-0,Unknown,17:30,1,0,2,0,3,0,1,2,3,Home
829,2020/2021,Hoffenheim,Freiburg,0-3,1-0,1-3,Unknown,14:30,0,3,1,0,1,3,3,1,4,Away
830,2020/2021,Bielefeld,M'gladbach,0-0,0-1,0-1,Unknown,14:30,0,0,0,1,0,1,0,1,1,Away
831,2020/2021,W. Bremen,Union Berlin,0-2,0-0,0-2,Unknown,14:30,0,2,0,0,0,2,2,0,2,Away
832,2020/2021,Frankfurt,Leverkusen,1-1,1-0,2-1,Unknown,14:30,1,1,1,0,2,1,2,1,3,Home
833,2020/2021,Köln,Augsburg,0-0,0-1,0-1,Unknown,14:30,0,0,0,1,0,1,0,1,1,Away
834,2020/2021,Wolfsburg,Stuttgart,0-0,1-0,1-0,Unknown,17:00,0,0,1,0,1,0,0,1,1,Home
835,2020/2021,Freiburg,Hertha,1-0,3-1,4-1,Unknown,14:30,1,0,3,1,4,1,1,4,5,Home
836,2020/2021,W. Bremen,Dortmund,1-1,0-1,1-2,Unknown,19:30,1,1,0,1,1,2,2,1,3,Away
