,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
834,2020/2021,PSG,Lens,1-0,1-1,2-1,Unknown,15:00,1,0,1,1,2,1,1,2,3,Home
835,2020/2021,Marseille,Strasbourg,0-0,1-1,1-1,Unknown,19:00,0,0,1,1,1,1,0,2,2,Draw
836,2020/2021,Lyon,Lille,2-1,0-2,2-3,Unknown,19:00,2,1,0,2,2,3,3,2,5,Away
837,2020/2021,Angers,Monaco,0-0,0-1,0-1,Unknown,15:05,0,0,0,1,0,1,0,1,1,Away
838,2020/2021,Strasbourg,Nantes,1-0,0-2,1-2,Unknown,13:00,1,0,0,2,1,2,1,2,3,Away
839,2020/2021,Lens,Nimes,1-0,1-1,2-1,Unknown,13:00,1,0,1,1,2,1,1,2,3,Home
840,2020/2021,Lorient,Bordeaux,3-0,1-1,4-1,Unknown,13:00,3,0,1,1,4,1,3,2,5,Home
841,2020/2021,Rennais,Dijon,1-1,4-0,5-1,Unknown,13:00,1,1,4,0,5,1,2,4,6,Home
842,2020/2021,Nice,Montpellier,3-1,0-0,3-1,Unknown,11:00,3,1,0,0,3,1,4,0,4,Home
843,2020/2021,Metz,PSG,0-1,1-2,1-3,Unknown,15:00,0,1,1,2,1,3,1,3,4,Away
844,2020/2021,Saint-Étienne,Brest,1-0,0-2,1-2,Unknown,11:00,1,0,0,2,1,2,1,2,3,Away
845,2020/2021,Reims,Marseille,1-2,0-1,1-3,Unknown,19:00,1,2,0,1,1,3,3,1,4,Away
846,2020/2021,Nantes,Lyon,0-2,1-0,1-2,Unknown,19:00,0,2,1,0,1,2,2,1,3,Away
847,2020/2021,Bordeaux,Monaco,0-1,0-2,0-3,Unknown,15:05,0,1,0,2,0,3,1,2,3,Away
848,2020/2021,Reims,Metz,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
849,2020/2021,Brest,Lens,1-0,0-1,1-1,Unknown,13:00,1,0,0,1,1,1,1,1,2,Draw
850,2020/2021,Nimes,Strasbourg,0-0,1-1,1-1,Unknown,13:00,0,0,1,1,1,1,0,2,2,Draw
